ID  объявления,Адрес,Дом,Парковка,Цена,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,пропуски,Количество_комнат,Описание_комнат,Название метро,Время_мин,Тип_транспорта,Общая_площадь,Жилая_площадь,Площадь_кухни
272056552,"Москва, Волоколамское шоссе, 71к1","5/9, Монолитный",подземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,9.6-9,Лоджия (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник","Город на Реке Тушино-2018, 2019",индивидуальная,2.7,"Пасс (1), Груз (1)",Да,0,2,Обычная,м. Тушинская,6.0,пешком,41.0,18.6,9.6
243160784,"Москва, Краснобогатырская улица, 90С2","5/18, Монолитный",подземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-15,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Наследие, 2017",Инд.проект,3.1,"Пасс (1), Груз (1)",Да,0,2,Смежная,м. Преображенская площадь,9.0,пешком,53.0,35.0,8.0
274376605,"Москва, Ленинский проспект, 105к3","14/25, Монолитный",подземная,"115000.0 руб./ За месяц, Залог - 115000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20-18-22,Лоджия (1),Во двор,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Ленинский проспект 105к3, 2008",инд.,3.0,"Пасс (2), Груз (2)",Да,0,4,Изолированная,м. Новаторская,10.0,пешком,103.0,60.0,22.0
274789736,"Москва, улица Лавриненко, 13к3, ш. Новорязанское (12 км до МКАД)","6/17, Монолитно-кирпичный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18-18,Лоджия (1),На улицу и двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет","Некрасовка, 2019",ДомРик,2.64,Пасс (2),Да,0,2,Обычная,м. Некрасовка,18.0,пешком,56.0,36.0,9.0
274473158,"Москва, 3-я Мытищинская улица, 3к1","17/17, Панельный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-15-11,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет","Алексеево, 2010",П-44т,2.7,"Пасс (2), Груз (1)",Да,0,3,Обычная,м. Алексеевская,6.0,пешком,75.0,46.0,13.0
252137540,"Москва, Муравская улица, 38к2","5/25, Монолитный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Балкон (1),На улицу,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон","Мир Митино, 2019","2,84",2.8,"Пасс (1), Груз (1)",Да,0,1,Обычная,м. Пятницкое шоссе,15.0,пешком,40.0,20.0,10.0
271497271,"Москва, Береговая улица, 4К5","4/6, Монолитный",подземная,"700000.0 руб./ За месяц, Залог - 700000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,65-60-20-18-17,"Балкон (2), Лоджия (1)",Во двор,"Совмещенный (2), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Покровский берег, 2005",,3.0,Груз (1),Да,1,5,Изолированная,м. Водный стадион,38.0,пешком,320.0,180.0,
220878150,"Москва, Митинская улица, 28к5, ш. Пятницкое (3 км до МКАД), ш. Путилковское (8 км до МКАД)","2/25, Монолитный",наземная,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,16-14,Балкон (1),Во двор,Раздельный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон","Life-Митинская Ecopark, 2016",,2.84,"Пасс (1), Груз (1)",Да,1,2,Изолированная,м. Пятницкое шоссе,3.0,на машине,58.0,30.0,12.0
216485167,"Москва, Базовская улица, 15к2","9/17, Панельный",наземная,"42000.0 руб./ За месяц, Залог - 42000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20-12,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",На Базовской,,2.8,"Пасс (1), Груз (1)",Да,1,2,Изолированная,м. Ховрино,15.0,на машине,56.0,32.0,10.0
154419689,"Москва, аллея Жемчуговой, 5К5","3/17, Панельный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,"19-14,8",Лоджия (2),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет, Телефон",,Т-44,2.64,"Пасс (1), Груз (1)",Да,1,2,Обычная,м. Выхино,25.0,пешком,63.0,33.8,13.0
